Alasan_Membeli_Produk;sentiment
tidak karena lagi hemat;negative
iya tertarik dengan keuntungan yang ditawarkan;positive
tidak;negative
tidak;negative
tidak tetapi kalau aplikasi biasanya sudah memakai;neutral
terkadang karena tertarik sama penawarannya promonya;neutral
iya kalau dibutuhkan;neutral
tidak tidak ingin membeli;negative
sudah menggunakan karena butuh;positive
tidak ada;negative
pernah masterclass hanya trial tidak menjadi beli karena subcription pertahun tidak ada yang perbulan;neutral
karena iklannya menarik;positive
tidak ada udah lebih baik memakai shopee daripada tokped aplikasi udah ada joox kalau investasi;positive
karena biasanya kami tidak menonton iklan hingga habis menjadi kami kurang paham akan iklan produk tersebut;negative
tidak;negative
tergantung produknya lebih sering tidak;neutral
tidak;negative
ada kalau produk yang iklankan ada promo;positive
kebanyakan dapet iklannya karena saya udah memakai produknya waktu lagi melihat contohnya yang sudah memakai seperti happyfresh karena saya hampir setiap minggu sekali melakukan transaksi sehingga sering dapat iklan happyfresh sendiri bliblimart sisanya seperti peminjaman online course online datacamp domestika dari iklan hanya menjadi menyebabkan saya menjelajahi produknya tetapi tidak sampai membeli ini saat awal kalau ada iklan lagi auto skip;positive
ingin karena ingin menonton drama;negative
karena jarang dapat iklan;neutral
saya tidak berminat membelinya;negative
iya karena terlihat menyegarkan;positive
tidak karena iklannya sangat menggangu;negative
tidak karena memang tidak membutuhkannya;negative
ingin membeli jika menarik produknya;positive
tidak sesuai kebutuhan saja;neutral
terkadang;neutral
tidak karena sering mendapat iklan yang barangnya tidak jual indonesia;negative
tidak karena tidak berguna;negative
tidak ada;negative
terkadang shopee iya karena ada promo gratis ongkir;positive
kalau bagus beli;positive
tidak karena iklan yang ditampilkan tidak sesuai dengan saya dan keadaannya memang sedang tidak membutuhkan produk yang diiklankan dan tujuan utama youtube menonton music video bukan melihat iklannya;neutral
tidak juga karena tergantung budget dan tingkat kebutuhan saya terhadap produk yang iklankan;positive
tidak ingin;negative
tidak karena saya kurang membutuhkan dan kurang tertarik;negative
of course kalau seperti memakai up misalnya nacific dan lainnya;positive
digunakan dalam kehidupan sehari hari;positive
tidak karena tidak tertarik;negative
iya;positive
tidak mahal uang eopseo;negative
tidak ada keinginan untuk membeli kecuali memang direkomendasikan oleh teman twitter dan influencer yang saya percaya;neutral
tidak karena saya tidak tertarik dan saya juga tidak membutuhkan produk tersebut
tidak ingin karena tidak penting;negative
tidak;negative
tidak karena terkadang produk produk yang ditawarkan tidak menarik dan yang diiklankan memerlukan uang yang banyak untuk membelinya sedangkan kita masih anak sekolah yang tidak mungkin untuk membelinya;negative
tidak minat;negative
tidak karena tidak menonton iklannya hingga habis;negative
tidak karena tidak butuh dan tidak berminat;negative
tidak karena bagi saya iklan youtube tidak menarik;negative
tergantung pada barang yang iklankan;neutral
tidak ingin menggunakan karena lebih suka shopee;neutral
tidak karena tidak tertarik;negative
karena tidak ada kota saya;negative
tidak;negative
tidak ingin karena masih ada keperluan yang lebih penting;negative
tidak tidak termasuk dalam kebutuhan sehari hari;negative
tidak;negative
tidak terlalu tertarik karena saya skip mungkin hanya pemberitahuan promo aja yang diiklankan dan sudah terlalu sering juga menjadi bosan;negative
tidak karena memang sedang tidak dibutuhkan
tidak karena tidak begitu tertarik hanya dengan iklan saya biasa membeli sesuatu dengan keinginan sendiri bukan karena dipengaruhi sesuatu seperti iklan;negative
lumayan ada keinginan
tidak karena sudah punya ponsel dan sudah nyaman menggunakan shopee untuk belanja online;negative
tidak ada;negative
tidak ada;negative
tidak karena tidak membutuhkannya;negative
tidak karena tidak perlu;negative
tergantung kebutuhan jika kebetulan produk tersebut lagi dibutuhkan dan sesuai pasti akan dibeli;neutral
iya namun hanya angan angan;neutral
tergantung kalau tertarik memakai tetapi kalau barang biasanya jarang beli;positive
saya memang sudah memiliki aplikasi tersebut sebelumnya seperti tiktok dan lazada;positive
