Alasan_Membeli_Produk;sentiment
hemat;negative
tertarik;positive
tidak;negative
tidak;negative
aplikasi;positive
penawarannya;neutral
dibutuhkan;positive
tidak ingin membeli;negative
sudah menggunakan;positive
tidak ada;negative
pernah;neutral
menarik;positive
lebih baik;neutral
tidak menonton;negative
tidak;negative
tergantung produknya;neutral
tidak;negative
promo;positive
memakai;positive
ingin menonton;positive
jarang iklan;neutral
tidak berminat;negative
terlihat menyegarkan;positive
sangat menggangu;negative
tidak membutuhkannya;negative
ingin membeli;positive
sesuai kebutuhan;neutral
terkadang;neutral
tidak jual di Indonesia;negative
tidak berguna;negative
tidak ada;negative
promo;positive
bagus;positive
tidak sesuai;neutral
tergantung budget;neutral
tidak ingin;negative
kurang membutuhkan;neutral
of course;positive
digunakan kehidupan sehari hari;positive
tidak tertarik;negative
iya;positive
mahal;negative
keuntungan;positive
ditawarkan;neutral
sudah memakai;neutral
promonya;positive
butuh;positive
subcription pertahun;negative
hanya trial;neutral
perbulan;positive
memakai;positive
investasi;negative
kurang paham;neutral
lebih sering tidak;negative
melihat;neutral
hampir setiap minggu sekali;neutral
melakukan transaksi;neutral
menyebabkan saya menjelajahi;neutral
tidak sampai membeli;negative
iklan lagi;negative
drama;negative
menarik produknya;positive
terkadang;neutral
gratis;positive
ongkir;positive
tidak membutuhkan;neutral
keadaannya;neutral
tujuan utama youtube;neutral
menonton music video;negative
melihat iklannya;negative
tingkat kebutuhan;neutral
kurang tertarik;negative
