Alasan_Menonton_Video;sentiment
lucu;positive
tidak sadar;neutral
durasi;positive
menarik;positive
tidak bisa di skip;negative
informatif;positive
tidak nonton;negative
tidak menonton hingga selesai;neutral
tidak melihat;negative
tidak ada;negative
tidak;negative
tertarik;positive
tidak ada;negative
tidak ada;negative
inspirasi;positive
tidak ada;negative
viewers bertambah;positive
segera menonton video;negative
bosan;negative
melamun;neutral
diajak ngobrol;neutral
lupa tidak skip;neutral
tidak lama;neutral
unik;positive
ada ceritanya;positive
tidak pakai dipikir;negative
tidak pernah skip;positive
tergantung streaming;neutral
nanggung;neutral
kalau menarik;neutral
iklan music video;neutral
idol;neutral
penasaran;positive
respect;positive
perhatian;positive
sengaja;positive
jengkel;negative
kelamaan;negative
selebihnya;negative
mini series;neutral
tergantung;neutral
detik awal;neutral
